iter	PRAUC	Logloss
0	0.5065316752	0.5430736986
1	0.5428402347	0.4382623541
2	0.5727050203	0.3732916133
3	0.6019524214	0.3247568689
4	0.6385379789	0.2867224948
5	0.7879663265	0.229716202
6	0.8272842491	0.1929354167
7	0.8355791914	0.1737978668
8	0.8439518455	0.1560952378
9	0.8467334841	0.1466052234
10	0.8512163851	0.1371718034
11	0.8528166237	0.1326414359
12	0.8532438726	0.1297466171
13	0.8560710435	0.126080699
14	0.8568739669	0.1239066314
15	0.8587298651	0.1210991199
16	0.861023692	0.1188911537
17	0.8642714076	0.1166662224
18	0.8648551032	0.1156220419
19	0.8670345755	0.1138148635
20	0.868456914	0.112513589
21	0.8697568446	0.1112511969
22	0.8707530307	0.1105256442
23	0.8714104256	0.109879542
24	0.8725825738	0.1090563695
25	0.8735468219	0.1083975308
26	0.8755005834	0.1073389159
27	0.8769903798	0.1065241886
28	0.8784485728	0.1056108027
29	0.8794770569	0.1049279039
30	0.8803495442	0.104326775
31	0.8815452378	0.1036113949
32	0.8822545448	0.1031512841
33	0.883176859	0.1026428476
34	0.8836163218	0.1022131041
35	0.8841628704	0.1017688722
36	0.8847980965	0.1013902415
37	0.8859243377	0.1005447242
38	0.8868850578	0.09995670043
39	0.8877004766	0.0994516399
40	0.8880385097	0.09919380794
41	0.8887653204	0.09883084858
42	0.8893032268	0.09839254572
43	0.8897757466	0.09810914202
44	0.8904037659	0.09775241029
45	0.8910986968	0.09734124719
46	0.8914202829	0.09712077271
47	0.8917052971	0.09695086428
48	0.8923725109	0.09660635939
49	0.8927180529	0.09637801368
50	0.8931791785	0.09612214304
51	0.893831849	0.09571675515
52	0.8945728528	0.09533656441
53	0.894873159	0.09509113633
54	0.8953186107	0.09480370514
55	0.8954762331	0.09469447393
56	0.8957437392	0.09457234377
57	0.8960165908	0.09442873796
58	0.8963092968	0.09424693844
59	0.8968667407	0.09393100154
60	0.8970198956	0.09380786797
61	0.8973651869	0.09353431839
62	0.8976853927	0.09334907966
63	0.8980335017	0.09309703984
64	0.8984740882	0.0928290665
65	0.8988407043	0.0926262946
66	0.8991269113	0.09244627175
67	0.8992579745	0.0923306365
68	0.8996059916	0.09204631045
69	0.8997448921	0.09197607865
70	0.9000353307	0.09177451291
71	0.9003802401	0.09155161878
72	0.9005813066	0.09144098636
73	0.9007288553	0.09135494873
74	0.9010646743	0.0911148218
75	0.9011634325	0.09106317923
76	0.9013926546	0.09089871788
77	0.9016563928	0.0907256856
78	0.9020609268	0.09051766484
79	0.9021748571	0.09040642244
80	0.9022950628	0.09030714274
81	0.9025150066	0.09017145226
82	0.9027241675	0.0900319202
83	0.9028944866	0.0899290184
84	0.9029203973	0.08985864988
85	0.9030464188	0.08976978672
86	0.9032095696	0.08967098445
87	0.9035054955	0.08946540309
88	0.9037250676	0.08929877682
89	0.9038513033	0.0892440176
90	0.9040904907	0.08908822172
91	0.9042129651	0.08900883014
92	0.9046467106	0.08872328424
93	0.9047675605	0.08865382819
94	0.9050511865	0.08845897669
95	0.9051320432	0.0884097229
96	0.905253171	0.08833382076
97	0.9056473286	0.08812608553
98	0.9058676021	0.08800006699
99	0.9060544661	0.08789342931
100	0.9061341779	0.08784786372
101	0.9063516007	0.08765985969
102	0.9064071003	0.0876254927
103	0.9065551919	0.08752994343
104	0.9067103674	0.08743453803
105	0.9068678672	0.08735265283
106	0.9070514724	0.08727093124
107	0.9073526347	0.0870106538
108	0.9074016703	0.08697442342
109	0.9074776628	0.08692870277
110	0.9077342763	0.08677802095
111	0.9079236426	0.08665018436
112	0.9080325418	0.0865824369
113	0.9082982368	0.0863883777
114	0.9084531436	0.08632493364
115	0.9085948244	0.08624542613
116	0.9090593243	0.08594036235
117	0.9092669079	0.08582479991
118	0.9094686889	0.08568987621
119	0.9095390804	0.08564115932
120	0.9097546062	0.0855265688
121	0.9098166932	0.08547791457
122	0.9099435698	0.08541647402
123	0.9100346414	0.08535746143
124	0.9101575697	0.08528925794
125	0.9102551381	0.08523214855
126	0.9104052982	0.08515341905
127	0.9105039858	0.08508105396
128	0.9106963379	0.08494046416
129	0.9108181692	0.08488390515
130	0.910911048	0.08480683191
131	0.9111499094	0.0846572134
132	0.9112555451	0.08453686796
133	0.9113399129	0.08447871184
134	0.9114991438	0.08438162284
135	0.911579113	0.08433144405
136	0.9117598834	0.08424123119
137	0.9118821615	0.08418976919
138	0.9121334971	0.08406014887
139	0.9122437697	0.08399558457
140	0.9123026347	0.08392822138
141	0.9124017796	0.08388047742
142	0.91252946	0.08379496609
143	0.9125541222	0.08372502232
144	0.9126295111	0.08367497542
145	0.9127888761	0.08356233414
146	0.9129475779	0.08348411789
147	0.9130206673	0.08344783316
148	0.913095513	0.08340325328
149	0.9131873611	0.08336499941
150	0.9133477588	0.08324564556
151	0.9133928889	0.08322131074
152	0.913491454	0.08316719231
153	0.9136017418	0.08311702417
154	0.9137192443	0.08304188695
155	0.9137852593	0.08300041823
156	0.9140893979	0.08279198897
157	0.9141257034	0.08275733251
158	0.9142698422	0.08269328491
159	0.9143820634	0.08259437919
160	0.9144867897	0.08253471542
161	0.9147004393	0.08243807394
162	0.9148941968	0.08232330538
163	0.9150440964	0.08222950422
164	0.9150882821	0.08218048083
165	0.9152060492	0.08211501576
166	0.9152671185	0.08207399589
167	0.9152684173	0.08207224824
168	0.9154751042	0.08194204074
169	0.9155113452	0.08192194823
170	0.9156021413	0.08185467907
171	0.9156498647	0.08183181329
172	0.9156936987	0.08181044853
173	0.9157608254	0.08177098882
174	0.9160859481	0.08158688082
175	0.9161064003	0.08156647184
176	0.9162032591	0.08153117708
177	0.9164171013	0.08139680154
178	0.9166244509	0.081276143
179	0.9166809221	0.08121855674
180	0.9167654912	0.08117378197
181	0.9168787649	0.08109669314
182	0.91696497	0.08103001977
183	0.9171902128	0.08091214621
184	0.9173155126	0.08084234554
185	0.9173600274	0.08080023606
186	0.9174141034	0.08077730326
187	0.9174660103	0.0807535352
188	0.917613229	0.08066623556
189	0.9176596272	0.08062753446
190	0.9177097585	0.0805956089
191	0.9177862592	0.08054590463
192	0.9178391947	0.08050854683
193	0.9179063677	0.0804565143
194	0.9180011232	0.0804141796
195	0.9181111764	0.08035861175
196	0.9181278734	0.08034668416
197	0.918186371	0.08031897239
198	0.9182704416	0.08027297671
199	0.9186147927	0.08008406315
200	0.918735	0.08002441958
201	0.9188578298	0.07993887651
202	0.9189324594	0.07989329282
203	0.9189425548	0.07988259126
204	0.9189875334	0.07985988618
205	0.9189978304	0.0798347406
206	0.9190474946	0.07981348359
207	0.9192918531	0.07965111232
208	0.9193231175	0.07963712772
209	0.919384528	0.07960086996
210	0.9193959437	0.07958693721
211	0.9194934386	0.07952887974
212	0.9197290857	0.07939549559
213	0.9198349281	0.07931614425
214	0.9199059695	0.07928883076
215	0.9199966582	0.07924267569
216	0.9200800983	0.07918804227
217	0.9201582686	0.07913907193
218	0.9201934774	0.07910571132
219	0.9202974008	0.07906383605
220	0.9204110838	0.07899326131
221	0.9204242499	0.07898188093
222	0.9205399248	0.07891830016
223	0.9205693688	0.07890302189
224	0.9206519012	0.07886588833
225	0.9207590553	0.07879163003
226	0.9208012556	0.07876804816
227	0.9208930164	0.07869171535
228	0.9210187327	0.07861171734
229	0.9210523901	0.07859958304
230	0.9212008976	0.07851839598
231	0.921237227	0.07848919398
232	0.9212686965	0.07847635221
233	0.9213037269	0.07845230904
234	0.9213581591	0.07841309788
235	0.9215121053	0.07832224982
236	0.9216360662	0.07825327705
237	0.9217401913	0.07818539042
238	0.9218914157	0.07810291235
239	0.9221605545	0.0779680316
240	0.9222016142	0.07794727509
241	0.9222532501	0.07792044538
242	0.922277904	0.07790735828
243	0.9223228964	0.07787629469
244	0.9223715604	0.07785336607
245	0.9224047124	0.07783762123
246	0.922447311	0.07781904131
247	0.9225340791	0.0777734384
248	0.9225465874	0.07775989328
249	0.9226055441	0.07773438147
250	0.9226514963	0.07769679459
251	0.9227418466	0.07765449226
252	0.9228188935	0.07761038486
253	0.9229401295	0.07753641368
254	0.9230314483	0.07749987938
255	0.9231299754	0.0774499115
256	0.9231585709	0.07743144288
257	0.9232222757	0.07738644686
258	0.9233163514	0.07732813314
259	0.9233312424	0.07730435147
260	0.9234558947	0.07724062043
261	0.9234761966	0.0772279889
262	0.9235136162	0.07720587159
263	0.9235327254	0.07718483483
264	0.9235831576	0.07715495715
265	0.9236340228	0.07712526894
266	0.9236893924	0.07709783583
267	0.9237454926	0.07706274549
268	0.9239045901	0.0769822258
269	0.9239531311	0.07695248576
270	0.9240182667	0.07691737077
271	0.9240530327	0.07689129816
272	0.9241323137	0.07685422971
273	0.9242099497	0.07679054131
274	0.9243210066	0.07671391568
275	0.9243983656	0.07666378004
276	0.9245769192	0.07654572504
277	0.9246614805	0.07649558123
278	0.9247311504	0.0764646475
279	0.9247563226	0.07645257117
280	0.9248010875	0.07642540849
281	0.9249505765	0.07634428937
282	0.9250084461	0.07631443553
283	0.9250291961	0.07630048481
284	0.9251071902	0.07625907131
285	0.9251655267	0.07622530478
286	0.9251808304	0.07621585029
287	0.9252166571	0.07619022919
288	0.9252568448	0.07615659321
289	0.9252986488	0.07613682396
290	0.9254019657	0.07608938125
291	0.9254216444	0.07608108326
292	0.925474398	0.07604136477
293	0.9255012266	0.07602764967
294	0.9255465444	0.07599884785
295	0.9255843811	0.07597702083
296	0.9256482559	0.07594294459
297	0.9256646067	0.07591938253
298	0.9257181916	0.07588479302
299	0.9257814805	0.07585740988
300	0.925797007	0.07583954716
